pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode,
H5,2019,2019,2019,0,0,3,Re-Export,646,Rwanda,RWA,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,380942983,None,None,0,
H5,2019,2019,2019,0,0,1,Import,686,Senegal,SEN,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,8143734073,None,None,4,
H5,2019,2019,2019,0,0,2,Export,686,Senegal,SEN,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,4178514674,None,None,4,
H5,2019,2019,2019,0,0,1,Import,688,Serbia,SRB,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,26730093636,None,None,4,
H5,2019,2019,2019,0,0,2,Export,688,Serbia,SRB,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,19633048518,None,None,4,
H5,2019,2019,2019,0,0,1,Import,690,Seychelles,SYC,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,1437735992,None,None,4,
H5,2019,2019,2019,0,0,2,Export,690,Seychelles,SYC,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,824038383,None,None,4,
H5,2019,2019,2019,0,0,3,Re-Export,690,Seychelles,SYC,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,397727729,None,None,0,
H5,2019,2019,2019,0,0,1,Import,699,India,IND,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,478883729111,None,None,4,
H5,2019,2019,2019,0,0,2,Export,699,India,IND,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,323250726424,None,None,4,
H5,2019,2019,2019,0,0,1,Import,702,Singapore,SGP,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,358974637219,None,None,4,
H5,2019,2019,2019,0,0,2,Export,702,Singapore,SGP,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,390331757374,None,None,4,
H5,2019,2019,2019,0,0,1,Import,703,Slovakia,SVK,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,90908108589,None,None,4,
H5,2019,2019,2019,0,0,2,Export,703,Slovakia,SVK,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,89909085415,None,None,4,
H5,2019,2019,2019,0,0,4,Re-Import,703,Slovakia,SVK,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,946207854,None,None,4,
H5,2019,2019,2019,0,0,1,Import,704,Viet Nam,VNM,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,253442015854,None,None,4,
H5,2019,2019,2019,0,0,2,Export,704,Viet Nam,VNM,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,264610322649,None,None,4,
H5,2019,2019,2019,0,0,1,Import,705,Slovenia,SVN,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,38162054184,None,None,4,
H5,2019,2019,2019,0,0,2,Export,705,Slovenia,SVN,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,37574594379,None,None,4,
H5,2019,2019,2019,0,0,1,Import,710,South Africa,ZAF,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,88037490927,None,None,0,
H5,2019,2019,2019,0,0,2,Export,710,South Africa,ZAF,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,89395988333,None,None,4,
H5,2019,2019,2019,0,0,3,Re-Export,710,South Africa,ZAF,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,2253768968,None,None,0,
H5,2019,2019,2019,0,0,4,Re-Import,710,South Africa,ZAF,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,390313312,None,None,0,
H5,2019,2019,2019,0,0,1,Import,716,Zimbabwe,ZWE,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,4787446790,None,None,4,
H5,2019,2019,2019,0,0,2,Export,716,Zimbabwe,ZWE,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,4279383537,None,None,4,
H5,2019,2019,2019,0,0,1,Import,724,Spain,ESP,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,375485170269,None,None,4,
H5,2019,2019,2019,0,0,2,Export,724,Spain,ESP,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,337215113876,None,None,4,
H5,2019,2019,2019,0,0,3,Re-Export,724,Spain,ESP,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,7662517819,None,None,0,
