distanceKM, distanceMILE, distanceNA
3457.50,2148.39,1866.90
15214.18,9453.66,8215.00
16919.83,10513.50,9135.98
12192.69,7576.19,6583.53
14320.16,8898.13,7732.27
13604.38,8453.37,7345.78
17196.31,10685.29,9285.26
16066.04,9982.97,8674.97
15459.27,9605.94,8347.34
4768.46,2962.98,2574.76
15203.58,9447.07,8209.28
15976.86,9927.56,8626.81
13680.83,8500.87,7387.05
16662.52,10353.61,8997.04
15797.96,9816.40,8530.21
15543.00,9657.97,8392.55
13946.61,8666.02,7530.57
7402.76,4599.86,3997.17
15717.75,9766.56,8486.91
16748.85,10407.25,9043.65
5395.12,3352.37,2913.13
12809.48,7959.44,6916.57
13277.15,8250.04,7169.09
17237.75,10711.04,9307.64
13994.32,8695.67,7556.33
16216.57,10076.51,8756.25
15911.67,9887.06,8591.62
15116.62,9393.03,8162.32
7950.93,4940.48,4293.16
12224.23,7595.78,6600.56
13936.96,8660.03,7525.36
11927.87,7411.63,6440.53
12775.62,7938.40,6898.28
11510.24,7152.13,6215.03
7687.08,4776.53,4150.69
14056.81,8734.50,7590.07
10586.18,6577.95,5716.08
15311.85,9514.34,8267.74
16195.89,10063.66,8745.08
6276.99,3900.34,3389.30
15260.02,9482.14,8239.75
16633.12,10335.34,8981.17
17939.08,11146.83,9686.33
9803.88,6091.85,5293.67
11288.54,7014.38,6095.33
6525.31,4054.64,3523.39
8983.39,5582.02,4850.64
16607.16,10319.21,8967.15
15948.77,9910.11,8611.65
17604.77,10939.10,9505.81
8871.97,5512.79,4790.48
13177.13,8187.89,7115.08
10157.30,6311.45,5484.50
15208.79,9450.30,8212.09
17817.84,11071.49,9620.86
10486.98,6516.31,5662.52
11540.99,7171.24,6231.64
11837.08,7355.22,6391.51
4279.06,2658.88,2310.51
9687.12,6019.30,5230.63
16626.75,10331.38,8977.73
2719.05,1689.54,1468.17
2326.03,1445.33,1255.95
13908.35,8642.25,7509.91
15923.02,9894.11,8597.74
15156.21,9417.63,8183.70
15976.82,9927.54,8626.79
4786.40,2974.13,2584.45
10817.15,6721.47,5840.79
4992.93,3102.46,2695.96
11013.20,6843.29,5946.65
14289.16,8878.87,7715.53
2877.07,1787.73,1553.49
12713.99,7900.11,6865.01
12855.01,7987.74,6941.15
6288.71,3907.63,3395.63
15559.28,9668.09,8401.34
18052.62,11217.38,9747.64
16990.10,10557.16,9173.92
3814.96,2370.50,2059.91
12247.46,7610.22,6613.10
15147.74,9412.37,8179.12
11681.84,7258.76,6307.69
12468.87,7747.80,6732.65
16287.49,10120.57,8794.54
16188.08,10058.80,8740.86
16103.70,10006.37,8695.30
12633.92,7850.36,6821.77
17362.49,10788.55,9375.00
15596.04,9690.93,8421.19
10043.55,6240.77,5423.08
16536.02,10275.00,8928.73
10353.79,6433.55,5590.60
6211.11,3859.40,3353.73
15860.97,9855.55,8564.24
7746.52,4813.47,4182.79
16064.41,9981.96,8674.09
11390.59,7077.78,6150.43
10820.12,6723.31,5842.40
11218.82, 6971.05, 6057.68
17572.70,10919.17,9488.50
12802.17,7954.90,6912.62
13397.35,8324.73,7233.99
15901.52,9880.75,8586.13
10851.25,6742.65,5859.21
15609.99,9699.60,8428.72
16594.50,10311.34,8960.31
13972.63,8682.19,7544.62
11637.53,7231.22,6283.76
7477.62,4646.38,4037.59
15404.28,9571.78,8317.65
3804.12,2363.77,2054.06
15883.66,9869.65,8576.49
11957.23,7429.88,6456.39
16348.28,10158.35,8827.36
14495.94,9007.36,7827.18
12377.90,7691.27,6683.53
4264.11,2649.59,2302.43
12409.19,7710.72,6700.43
14895.07,9255.37,8042.70
15185.74,9435.98,8199.64
14266.43,8864.75,7703.25
16981.83,10552.02,9169.46
12331.77,7662.61,6658.62
15945.16,9907.86,8609.70
16119.16,10015.98,8703.65
11780.22,7319.89,6360.81
11770.12,7313.61,6355.36
15451.43,9601.08,8343.11
4574.05,2842.18,2469.79
12325.18,7658.51,6655.06
11617.03,7218.49,6272.69
13457.08,8361.84,7266.24
9407.06,5845.28,5079.41
7915.14,4918.24,4273.83
6668.64,4143.70,3600.78
3963.63,2462.89,2140.19
11784.10,7322.30,6362.91
2339.16,1453.48,1263.04
14059.24,8736.00,7591.38
9526.90,5919.74,5144.11
5549.33,3448.19,2996.40
11603.20,7209.90,6265.23
15582.98,9682.81,8414.13
11333.23,7042.15,6119.46
3460.24,2150.09,1868.38
8978.23,5578.81,4847.85
15463.27,9608.43,8349.50
6399.99,3976.77,3455.72
9432.95,5861.36,5093.39
7682.43,4773.64,4148.18
5790.99,3598.35,3126.88
7859.42,4883.62,4243.75
17784.26,11050.63,9602.73
9734.03,6048.44,5255.95
16197.18,10064.46,8745.78
8545.92,5310.19,4614.43
10501.82,6525.53,5670.53
17042.35,10589.62,9202.13
6891.79,4282.36,3721.27
7358.08,4572.10,3973.04
4341.01,2697.38,2343.96
7648.97,4752.85,4130.11
14252.70,8856.22,7695.84
7591.68,4717.25,4099.18
3010.54,1870.66,1625.56
16929.30,10519.38,9141.09
3663.08,2276.13,1977.91
9779.78,6076.88,5280.66
7013.52,4358.00,3787.00
7015.35,4359.13,3787.98
4896.91,3042.80,2644.12
9369.21,5821.75,5058.97
10246.11,6366.64,5532.46
506.70,314.85,273.60
6089.98,3784.14,3288.33
9735.64,6049.44,5256.82
3759.18,2335.84,2029.79
1121.38,696.79,605.50
3776.18,2346.41,2038.98
5596.55,3477.53,3021.89
6602.30,4102.48,3564.96
